Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
33-015-0014-42602-1,43.075278,-70.748056,New Hampshire,Urban And Center City,8.089451176,4.849351239,2.807286263,0,0.001,1.24284,0,2.6
34-003-0005-42602-1,40.89858,-74.0299,New Jersey,Suburban,18.72300689,18.58299508,15.22219658,47.1389,0.015,3.36043,0,17.2
34-007-0003-42602-2,39.923042,-75.097617,New Jersey,Suburban,17.52566663,18.73774906,14.09965897,53.935,0.002,3.10627,0.23131,58.9
34-013-1003-42602-1,40.7575,-74.200501,New Jersey,Urban And Center City,23.99531475,21.45351561,15.87187672,70.1187,0.046,1.37985,0.24849,15.7
34-017-0006-42602-1,40.67025,-74.126081,New Jersey,Urban And Center City,22.48561109,16.64524405,19.03380966,2.3051,0,1.01121,0,0.8
34-021-0005-42602-1,40.283092,-74.742644,New Jersey,Suburban,12.32035964,11.52421698,8.869927406,28.5553,0.03,0,0,58.9
34-023-0011-42602-1,40.462182,-74.429439,New Jersey,Rural,13.99599859,14.08503567,11.76017571,31.1544,0.011,1.38507,0,16.8
34-027-3001-42602-1,40.787628,-74.676301,New Jersey,Rural,8.502498751,12.13420961,6.473333359,15.2798,0.274,2.51519,0,61.8
34-039-0004-42602-2,40.64144,-74.208365,New Jersey,Suburban,29.69747292,20.86329433,17.70145416,64.43,0.004,0.52313,0,11
35-001-0023-42602-1,35.1343,-106.5852,New Mexico,Urban And Center City,15.48161227,13.57392724,3.238762617,60,0.304,2.88622,0.1665,889.6
35-001-0024-42602-1,35.0631,-106.578785,New Mexico,Suburban,12.814101,12.74153901,2.486118793,58.8574,0.304,2.69882,0.11617,884.6
35-013-0021-42602-1,31.796111,-106.583889,New Mexico,Suburban,9.609969998,9.36034464,2.374851704,14.4917,0.304,0.62558,0.41921,665.9
35-013-0022-42602-1,31.787778,-106.682778,New Mexico,Rural,4.397547148,5.973234509,0.992481828,0.1547,0.304,0.63814,0,657.7
35-015-1004-42602-1,32.855556,-104.411389,New Mexico,Urban And Center City,4.816744186,7.467783213,-0.882641792,28.4449,0.304,3.11686,0,933.9
35-015-1005-42602-1,32.38,-104.262222,New Mexico,Rural,3.258060748,4.53788703,-0.868490934,4.6535,0.304,0,0,904.2
35-025-0008-42602-1,32.726656,-103.122917,New Mexico,Suburban,7.54601801,10.14442301,0.115357079,45.7875,0.304,2.78761,0.18609,886.1
35-043-1003-42602-1,35.238056,-106.649444,New Mexico,Urban And Center City,9.683640177,8.775111194,1.617934942,31.9269,0.304,0.36234,0,892.2
